id,name,price,ds
0,Maguro,4.34,2022-01-01
1,Ika,7.35,2022-01-01
2,Aji,6.06,2022-01-01
3,Hotate,8.5,2022-01-01
4,Escolar,8.46,2022-01-01
5,Sake,4.91,2022-01-01
6,Tamago,4.94,2022-01-01
7,Umi Masu,8.61,2022-01-01
8,Bincho,9.71,2022-01-01
9,Toro,9.13,2022-01-01
10,Aoyagi,5.5,2022-01-01
11,Hamachi,6.51,2022-01-01
12,Tobiko,7.78,2022-01-01
13,Unagi,7.99,2022-01-01
14,Tako,5.59,2022-01-01
0,Kani,8.22,2022-01-02
1,Amaebi,9.14,2022-01-02
2,Uni,4.55,2022-01-02
3,Sake Toro,5.01,2022-01-02
4,Maguro,9.95,2022-01-02
5,Katsuo,9.03,2022-01-02
6,Hamachi Toro,3.76,2022-01-02
7,Iwashi,5.56,2022-01-02
8,Tamago,6.96,2022-01-02
9,Tai,5.84,2022-01-02
10,Ika,3.23,2022-01-02
0,Hirame,7.74,2022-01-03
1,Uni,3.98,2022-01-03
2,Tai,4.09,2022-01-03
3,Kanpachi,7.55,2022-01-03
4,Tobiko,9.87,2022-01-03
5,Hotate,7.86,2022-01-03
6,Iwashi,8.33,2022-01-03
7,Ikura,5.98,2022-01-03
8,Maguro,3.97,2022-01-03
9,Tsubugai,4.51,2022-01-03
10,Tako,8.35,2022-01-03
11,Sake,3.38,2022-01-03
12,Tamago,6.43,2022-01-03
13,Ika,4.26,2022-01-03
14,Unagi,7.42,2022-01-03
0,Ikura,5.02,2022-01-04
1,Tobiko,9.15,2022-01-04
2,Hamachi,6.66,2022-01-04
3,Bincho,8.4,2022-01-04
4,Tsubugai,5.26,2022-01-04
5,Hotate,8.92,2022-01-04
6,Toro,7.52,2022-01-04
7,Aji,7.49,2022-01-04
8,Ebi,5.67,2022-01-04
9,Kanpachi,7.51,2022-01-04
10,Kani,6.97,2022-01-04
11,Hirame,4.51,2022-01-04
0,Saba,7.41,2022-01-05
1,Unagi,8.45,2022-01-05
2,Uni,3.67,2022-01-05
3,Maguro,8.76,2022-01-05
4,Katsuo,5.99,2022-01-05
5,Bincho,9.15,2022-01-05
6,Sake Toro,3.67,2022-01-05
7,Aji,9.55,2022-01-05
8,Umi Masu,9.88,2022-01-05
9,Hamachi,6.53,2022-01-05
10,Tai,6.83,2022-01-05
11,Tsubugai,4.62,2022-01-05
12,Ikura,4.86,2022-01-05
13,Ahi,9.66,2022-01-05
14,Hotate,7.85,2022-01-05
0,Hamachi Toro,4.87,2022-01-06
1,Ika,3.26,2022-01-06
2,Kanpachi,8.63,2022-01-06
3,Hirame,5.34,2022-01-06
4,Katsuo,9.24,2022-01-06
5,Iwashi,8.67,2022-01-06
6,Sake Toro,9.75,2022-01-06
7,Bincho,9.7,2022-01-06
8,Aji,7.14,2022-01-06
9,Hokigai,5.18,2022-01-06
10,Umi Masu,9.43,2022-01-06
11,Unagi,3.35,2022-01-06
12,Sake,4.58,2022-01-06
13,Aoyagi,5.54,2022-01-06
0,Amaebi,6.94,2022-01-07
1,Ebi,7.84,2022-01-07
2,Saba,5.28,2022-01-07
3,Anago,4.53,2022-01-07
4,Escolar,7.28,2022-01-07
5,Ahi,6.48,2022-01-07
6,Katsuo,5.16,2022-01-07
7,Umi Masu,6.09,2022-01-07
8,Maguro,7.7,2022-01-07
9,Hokigai,7.37,2022-01-07
10,Sake Toro,6.99,2022-01-07
